Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
12/7/25,"Day 1, Year 1",Farming,Spring,Sunny,Very Happy,0:40:00,500,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
12/7/25,"Day 2, Year 1",Farming,Spring,Sunny,Neutral,1:10:00,500,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
12/7/25,"Day 3, Year 1",Farming,Spring,Rainy,Good Humor,0:00:00,500,0,0,0,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
12/7/25,"Day 4, Year 1",Farming,Spring,Sunny,Neutral,2:10:00,500,0,0,450,Base,Base,Rusty,Base,Base,None,None,None,0,0,0,0,0
12/7/25,"Day 5, Year 1",Farming,Spring,Sunny,Neutral,1:00:00,50,603,100,0,Base,Base,Rusty,Base,Base,None,Training,None,1,0,0,1,0
12/7/25,"Day 6, Year 1",Farming,Spring,Sunny,Good Humor,1:10:00,753,0,0,600,Base,Base,Rusty,Base,Base,None,Training,None,1,0,0,1,0
12/16/25,"Day 7, Year 1",Farming,Spring,Sunny,Annoyed/Mildly Perturbed,1:00:00,153,70,250,240,Base,Base,Rusty,Base,Base,None,Training,None,1,0,0,1,0
12/16/25,"Day 8, Year 1",Farming,Spring,Sunny,Neutral,2:40:00,233,0,0,60,Base,Base,Rusty,Base,Base,None,Training,None,1,0,0,1,0
12/16/25,"Day 9, Year 1",Farming,Spring,Sunny,Very Happy,1:10:00,173,0,0,0,Base,Base,Rusty,Base,Base,None,Training,None,1,0,1,2,0
12/16/25,"Day 10, Year 1",Farming,Spring,Rainy,Very Happy,0:20:00,173,880,0,0,Base,Base,Rusty,Base,Base,None,Training,None,1,0,1,2,0
12/19/25,"Day 11, Year 1",Farming,Spring,Sunny,Very Displeased,2:20:00,"1,053.00",433,250,900,Base,Base,Rusty,Base,Base,None,Training,None,1,0,1,2,0
12/19/25,"Day 12, Year 1",Farming,Spring,Sunny,Good Humor,2:00:00,836,"1,615.00",0,690,Base,Base,Rusty,Base,Base,None,Training,None,2,0,1,2,0
12/19/25,"Day 13, Year 1",Farming,Spring,Sunny,Annoyed/Mildly Perturbed,2:20:00,"1,761.00",0,100,"1,600.00",Base,Base,Rusty,Base,Base,None,Training,None,2,0,1,2,0
12/19/25,"Day 14, Year 1",Farming,Spring,Sunny,Very Happy,1:40:00,261,0,0,0,Base,Base,Rusty,Base,Base,None,Training,None,2,0,1,2,0
12/19/25,"Day 15, Year 1",Farming,Spring,Sunny,Very Happy,2:30:00,261,0,0,0,Base,Base,Rusty,Base,Base,None,Training,None,2,0,1,3,0
12/19/25,"Day 16, Year 1",Farming,Spring,Sunny,Annoyed/Mildly Perturbed,2:40:00,261,444,250,0,Base,Base,Rusty,Base,Base,None,Training,None,3,0,1,3,0
12/19/25,"Day 17, Year 1",Farming,Spring,Sunny,Good Humor,1:30:00,955,"2,000.00",0,150,Base,Base,Rusty,Base,Base,None,Training,None,3,0,1,3,0
12/19/25,"Day 18, Year 1",Farming,Spring,Sunny,Good Humor,3:30:00,"2,805.00","1,380.00",0,"1,250.00",Base,Base,Rusty,Base,Base,None,Training,None,3,0,2,3,0
12/19/25,"Day 19, Year 1",Farming,Spring,Sunny,Very Happy,5:20:00,"2,935.00",0,500,"3,000.00",Base,Base,Rusty,Base,Base,None,Training,None,3,0,2,3,0
12/20/25,"Day 20, Year 1",Farming,Spring,Sunny,Good Humor,4:30:00,435,0,550,750,Base,Base,Rusty,Base,Base,None,Training,None,3,0,2,3,0
12/20/25,"Day 21, Year 1",Farming,Spring,Sunny,Annoyed/Mildly Perturbed,3:20:00,235,"2,233.00",0,200,Base,Base,Rusty,Base,Base,None,Training,None,4,0,2,3,0
12/20/25,"Day 22, Year 1",Farming,Spring,Sunny,Annoyed/Mildly Perturbed,4:50:00,"2,268.00",0,0,425,Base,Base,Rusty,Base,Base,None,Training,None,5,0,2,3,0
12/20/25,"Day 23, Year 1",Farming,Spring,Sunny,Good Humor,3:30:00,"1,843.00",0,0,0,Base,Base,Rusty,Base,Base,None,Training,None,5,0,2,3,0
