Date,In-game Date,Activity,Season,Weather,Luck,Time Spent (in minutes),Gold on Hand,Primary Activity Gold,Non-Activity Gold,Expenses,Net Activity Income,Pickaxe,Axe,Sword,Hoe,Scythe,Pan,Rod,Tackle,Farming Lvl.,Fishing Lvl.,Mining Lvl.,Foraging Lvl.,Fighting Lvl.
12/30/25,"Day 1, Year 1",Farming,Summer,Sunny,Neutral,5:30:00,"5,817.00",0,0,"3,040.00","-3,040.00",Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,0
12/30/25,"Day 2, Year 1",Farming,Summer,Sunny,Annoyed/Mildly Perturbed,3:00:00,"2,777.00",0,240,"1,280.00","-1,280.00",Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,0
12/30/25,"Day 3, Year 1",Farming,Summer,Sunny,Good Humor,2:00:00,"1,737.00",0,0,0,0,Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,1
12/30/25,"Day 4, Year 1",Farming,Summer,Sunny,Good Humor,1:50:00,"1,737.00",0,0,"1,500.00","-1,500.00",Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,1
12/30/25,"Day 5, Year 1",Farming,Summer,Sunny,Good Humor,3:10:00,237,0,0,0,0,Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,1
12/30/25,"Day 6, Year 1",Farming,Summer,Sunny,Very Displeased,3:20:00,237,"1,155.00",0,0,"1,155.00",Copper,Base,Rusty,Base,Base,None,Training,None,5,2,2,3,1
12/30/25,"Day 7, Year 1",Farming,Summer,Sunny,Annoyed/Mildly Perturbed,4:00:00,"1,392.00","3,754.00",0,"1,080.00","2,674.00",Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 8, Year 1",Farming,Summer,Thunderstorm,Annoyed/Mildly Perturbed,0:00:00,"4,066.00",412,0,0,412,Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 9, Year 1",Farming,Summer,Sunny,Neutral,4:10:00,"4,478.00","1,111.00",0,275,836,Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
12/30/25,"Day 10, Year 1",Farming,Summer,Sunny,Annoyed/Mildly Perturbed,3:10:00,"5,314.00",200,0,0,200,Copper,Base,Rusty,Base,Base,None,Training,None,6,2,2,3,1
